Age,Income,Feature3,target
58,53872.11845650957,-1.0967522985771896,1
48,51590.52145404558,-0.6823015639202723,0
34,43479.05397744305,0.8875116144162691,0
62,21126.385817206756,0.6054831308476749,1
27,35907.39232710441,-0.7202979928588131,1
40,76907.356219892,-0.2699337690756908,0
58,83214.04324249645,-0.14346222963068933,1
38,68476.7979824809,0.6170037757151301,1
42,94104.07028106792,1.248940699139911,1
30,72086.16204015556,0.06564915811122479,0
30,93196.77404350246,1.1692076469526225,0
43,88003.08622318394,0.8733169690894266,0
55,55956.053931056274,0.20565013400667065,1
59,27632.809319232903,-1.4434833516962386,1
43,49665.46017586131,-1.0277108640884889,1
22,73507.30021308857,0.741240635045218,0
41,73273.78852939972,-1.710529578525031,1
21,67303.82301661817,0.1189784918959853,1
43,41977.74343920514,1.0004856077621047,1
63,64899.47406781609,0.1524208622592595,1
49,50634.14998030319,-0.6013972455717266,0
57,97736.9676311283,-0.8466143568647967,0
21,87913.1059412867,0.8161527228813708,1
40,77738.36169318986,0.47170729152697877,0
52,38878.793579916455,-0.28548930098633024,0
31,40485.46582090591,1.06529246884595,1
41,23234.687163074508,0.8539977864949012,1
63,76853.03117486299,1.7885938573254625,0
44,28871.265664946506,0.5668940707870872,1
68,55146.92014926161,-0.1645004341619045,0
46,36137.5361868317,-0.14299093470752663,1
61,91661.08765388155,-1.9345701955010497,0
47,58029.61785456894,0.1506590434832807,1
35,65062.0457581107,-0.015714939852446642,0
34,75641.28691409019,-1.330074065514785,0
66,31146.516352470055,-0.02528762557112797,0
63,68353.39034222538,1.343168212296779,1
22,63187.28730413385,-0.7345476499475264,0
56,36244.89797878155,-0.9598946321139062,0
26,95428.28564463848,1.1049282184501492,1
40,67909.23731908288,0.6342402962642898,1
28,75582.79464317637,3.06109521437826,0
58,90437.42712122062,-1.3185701607581126,0
37,69948.32385070345,0.7203872420381966,1
23,43650.69486701712,0.31589090715231577,1
44,28439.540786421647,0.059281284053195875,1
33,56522.765638632816,0.9105122184946679,1
69,37475.234977346685,-0.02972535768739004,1
28,53320.7958296293,-1.9363762099846002,0
45,90662.42071350946,-0.8473575281126436,1
21,45947.60168042192,1.3644334473203186,0
39,29767.036376053868,1.1720289038044003,0
47,48503.827046157996,-0.3731191896503628,0
66,92546.27532366032,0.5035970641448175,1
26,41770.57995077083,2.783938046489837,0
63,71815.20964330898,-0.031186798166844176,0
27,20041.630159625267,-0.011583319781993704,1
66,48205.50850673352,0.19059870511452282,0
54,44382.500652642324,0.606975709568625,0
33,33172.46825143534,-0.34890118277275145,1
36,62727.15355003536,0.6061293630990848,0
55,58786.39770871866,-1.9442295937495997,0
69,75394.88263122163,0.3363987637862524,0
59,41552.98670388172,0.05062981091516631,1
23,39530.041779821935,-0.21745697690402407,1
21,33463.28337383445,-0.47525734840047573,1
25,37501.13756584562,-0.6093733758844135,0
61,64648.16016138729,-0.8135210969600233,0
23,52306.89368464326,-2.3180682481878288,1
48,25191.379768718525,-0.2680183518428724,0
37,40313.23311474758,1.0963297895410888,0
45,39750.08502708809,-0.33541102407083956,1
63,75704.34182718306,0.6351125509019792,1
53,76981.64719395536,-1.0802008700404855,0
29,31846.95439627199,-1.3056975540410904,0
55,99819.23880391534,-0.7507618430676728,0
33,41342.4811420228,-1.025499869720156,1
50,98129.19646661224,-1.1830396113350525,1
67,52882.961065458505,0.44977403848873365,1
34,22644.05863204387,1.7789243438859612,1
27,47605.699842134636,-0.6669433749565127,0
33,70748.1075761091,-1.691818256250303,1
42,74456.43612438135,0.6567973311639799,1
59,62474.76666537091,-1.435900819374032,1
40,55822.65316584733,-1.183265621454419,1
35,64231.44712570623,0.49499565419169494,1
64,67415.73791035148,-0.16530961455356247,0
37,26468.26610661722,-0.6871751753325103,0
66,49572.35648491236,0.0683512511038289,1
43,39372.79506219407,-0.4094088305715577,0
45,84251.18051039167,1.889547656126583,1
44,57624.05075568307,-0.6758047342213966,1
64,98673.85127158744,-0.9134125373224152,0
60,51905.95539556425,-0.4550331739875662,0
48,85314.54985755071,-0.41276161319010646,1
34,83867.60999876409,0.5956436518043213,1
64,32057.403517234357,-1.991537786531414,1
20,60655.902139257494,0.42602586683400195,0
44,75665.02454327056,-0.5412854416399674,1
26,88668.70438509759,0.7768230044256033,1
